Day,Kerosine_Price
3/25/2024,2.583
3/22/2024,2.582
3/21/2024,2.608
3/20/2024,2.606
3/19/2024,2.671
3/18/2024,2.718
3/15/2024,2.655
3/14/2024,2.628
3/13/2024,2.644
3/12/2024,2.572
3/11/2024,2.588
3/8/2024,2.556
3/7/2024,2.617
3/6/2024,2.585
3/5/2024,2.511
3/4/2024,2.552
3/1/2024,2.609
2/29/2024,2.552
2/28/2024,2.533
2/27/2024,2.623
2/26/2024,2.642
2/23/2024,2.576
2/22/2024,2.696
2/21/2024,2.664
2/20/2024,2.631
2/16/2024,2.707
2/15/2024,2.712
2/14/2024,2.701
2/13/2024,2.789
2/12/2024,2.86
2/9/2024,2.869
2/8/2024,2.816
2/7/2024,2.754
2/6/2024,2.663
2/5/2024,2.639
2/2/2024,2.586
2/1/2024,2.65
1/31/2024,2.7
1/30/2024,2.753
1/29/2024,2.786
1/26/2024,2.749
1/25/2024,2.701
1/24/2024,2.602
1/23/2024,2.624
1/22/2024,2.594
1/19/2024,2.568
1/18/2024,2.584
1/17/2024,2.585
1/16/2024,2.579
1/12/2024,2.596
1/11/2024,2.637
1/10/2024,2.558
1/9/2024,2.537
1/8/2024,2.473
1/5/2024,2.466
1/4/2024,2.431
1/3/2024,2.435
1/2/2024,2.333
12/29/2023,2.365
12/28/2023,2.385
12/27/2023,2.451
12/26/2023,2.503
12/22/2023,2.498
12/21/2023,2.541
12/20/2023,2.537
12/19/2023,2.543
12/18/2023,2.453
12/15/2023,2.384
12/14/2023,2.351
12/13/2023,2.196
12/12/2023,2.152
12/11/2023,2.322
12/8/2023,2.299
12/7/2023,2.29
12/6/2023,2.303
12/5/2023,2.357
12/4/2023,2.401
12/1/2023,2.401
11/30/2023,2.476
11/29/2023,2.646
11/28/2023,2.662
11/27/2023,2.618
11/24/2023,2.601
11/22/2023,2.654
11/21/2023,2.702
11/20/2023,2.695
11/17/2023,2.611
11/16/2023,2.709
11/15/2023,2.825
11/14/2023,2.862
11/13/2023,2.789
11/10/2023,2.669
11/9/2023,2.665
11/8/2023,2.724
11/7/2023,2.808
11/6/2023,2.889
11/3/2023,2.837
11/2/2023,3.105
11/1/2023,2.875
10/31/2023,2.869
10/30/2023,2.854
10/27/2023,2.859
10/26/2023,2.863
10/25/2023,2.837
10/24/2023,2.825
10/23/2023,2.894
10/20/2023,2.952
10/19/2023,2.905
10/18/2023,2.855
10/17/2023,3.029
10/16/2023,3.019
10/13/2023,3.065
10/12/2023,2.85
10/11/2023,2.85
10/10/2023,2.862
10/6/2023,2.684
10/5/2023,2.656
10/4/2023,2.799
10/3/2023,2.978
10/2/2023,2.999
9/29/2023,3.162
9/28/2023,3.145
9/27/2023,3.13
9/26/2023,3.052
9/25/2023,3.073
9/22/2023,3.15
9/21/2023,3.206
9/20/2023,3.215
9/19/2023,3.137
9/18/2023,3.055
9/15/2023,3.144
9/14/2023,3.269
9/13/2023,3.24
9/12/2023,3.111
9/11/2023,3.145
9/8/2023,3.082
9/7/2023,3.026
9/6/2023,2.994
9/5/2023,3.087
9/1/2023,2.982
8/31/2023,3.006
8/30/2023,2.957
8/29/2023,3.09
8/28/2023,3.075
8/25/2023,3.188
8/24/2023,3.047
8/23/2023,3.017
8/22/2023,3.055
8/21/2023,3.084
8/18/2023,3.106
8/17/2023,2.967
8/16/2023,2.882
8/15/2023,2.9
8/14/2023,2.935
8/11/2023,2.969
8/10/2023,3.007
8/9/2023,3.063
8/8/2023,2.919
8/7/2023,2.874
8/4/2023,2.897
8/3/2023,2.936
8/2/2023,2.861
8/1/2023,2.901
7/31/2023,2.86
7/28/2023,2.818
7/27/2023,2.74
7/26/2023,2.668
7/25/2023,2.603
7/24/2023,2.588
7/21/2023,2.553
7/20/2023,2.481
7/19/2023,2.448
7/18/2023,2.412
7/17/2023,2.383
7/14/2023,2.393
7/13/2023,2.416
7/12/2023,2.423
7/11/2023,2.394
7/10/2023,2.371
7/7/2023,2.372
7/6/2023,2.314
7/5/2023,2.314
7/3/2023,2.207
6/30/2023,2.246
6/29/2023,2.216
6/28/2023,2.204
6/27/2023,2.209
6/26/2023,2.253
6/23/2023,2.209
6/22/2023,2.296
6/21/2023,2.392
6/20/2023,2.264
6/16/2023,2.366
6/15/2023,2.295
6/14/2023,2.187
6/13/2023,2.253
6/12/2023,2.171
6/9/2023,2.248
6/8/2023,2.282
6/7/2023,2.309
6/6/2023,2.238
6/5/2023,2.225
6/2/2023,2.219
6/1/2023,2.165
5/31/2023,2.091
5/30/2023,2.11
5/26/2023,2.184
5/25/2023,2.151
5/24/2023,2.225
5/23/2023,2.169
5/22/2023,2.201
5/19/2023,2.194
5/18/2023,2.238
5/17/2023,2.251
5/16/2023,2.183
5/15/2023,2.218
5/12/2023,2.153
5/11/2023,2.215
5/10/2023,2.254
5/9/2023,2.233
5/8/2023,2.213
5/5/2023,2.15
5/4/2023,2.05
5/3/2023,2.044
5/2/2023,2.102
5/1/2023,2.169
4/28/2023,2.159
4/27/2023,2.142
4/26/2023,2.142
4/25/2023,2.201
4/24/2023,2.274
4/21/2023,2.246
4/20/2023,2.233
4/19/2023,2.288
4/18/2023,2.31
4/17/2023,2.363
4/14/2023,2.413
4/13/2023,2.506
4/12/2023,2.533
4/11/2023,2.506
4/10/2023,2.53
4/6/2023,2.517
4/5/2023,2.588
4/4/2023,2.581
4/3/2023,2.573
3/31/2023,2.541
3/30/2023,2.566
3/29/2023,2.577
3/28/2023,2.695
3/27/2023,2.726
3/24/2023,2.528
3/23/2023,2.477
3/22/2023,2.507
3/21/2023,2.502
3/20/2023,2.497
3/17/2023,2.5
3/16/2023,2.566
3/15/2023,2.529
3/14/2023,2.644
3/13/2023,2.773
3/10/2023,2.778
3/9/2023,2.729
3/8/2023,2.8
3/7/2023,2.832
3/6/2023,2.929
3/3/2023,2.987
3/2/2023,2.911
3/1/2023,3.016
2/28/2023,2.973
2/27/2023,3.069
2/24/2023,2.957
2/23/2023,2.766
2/22/2023,2.78
2/21/2023,2.6
2/17/2023,2.541
2/16/2023,2.628
2/15/2023,2.693
2/14/2023,2.843
2/13/2023,2.807
2/10/2023,2.796
2/9/2023,2.802
2/8/2023,2.886
2/7/2023,2.879
2/6/2023,2.69
2/3/2023,2.577
2/2/2023,2.753
2/1/2023,2.965
1/31/2023,3.437
1/30/2023,3.63
1/27/2023,3.788
1/26/2023,3.992
1/25/2023,3.796
1/24/2023,3.735
1/23/2023,3.839
1/20/2023,3.916
1/19/2023,3.603
1/18/2023,3.558
1/17/2023,3.567
1/13/2023,3.817
1/12/2023,3.503
1/11/2023,3.471
1/10/2023,3.315
1/9/2023,3.4
1/6/2023,3.191
1/5/2023,3.091
1/4/2023,3.078
1/3/2023,3.107
12/30/2022,3.333
12/29/2022,3.355
12/28/2022,3.308
12/27/2022,3.29
12/23/2022,3.049
12/22/2022,2.935
12/21/2022,2.916
12/20/2022,2.756
12/19/2022,2.802
12/16/2022,2.883
12/15/2022,3.035
12/14/2022,3.05
12/13/2022,2.874
12/12/2022,2.733
12/9/2022,2.588
12/8/2022,2.648
12/7/2022,2.438
12/6/2022,2.56
12/5/2022,2.628
12/2/2022,2.8
12/1/2022,2.851
11/30/2022,2.935
11/29/2022,2.85
11/28/2022,2.72
11/25/2022,2.799
11/23/2022,2.873
11/22/2022,3.035
11/21/2022,3.125
11/18/2022,3.145
11/17/2022,3.137
11/16/2022,3.232
11/15/2022,3.242
11/14/2022,3.141
11/10/2022,3.096
11/9/2022,3.179
11/8/2022,3.368
11/7/2022,3.449
11/4/2022,3.596
11/3/2022,3.605
11/2/2022,3.371
11/1/2022,3.309
10/31/2022,4.183
10/28/2022,4.365
10/27/2022,4.099
10/26/2022,4.013
10/25/2022,3.764
10/24/2022,3.749
10/21/2022,3.389
10/20/2022,3.282
10/19/2022,3.407
10/18/2022,3.504
10/17/2022,3.711
10/14/2022,3.647
10/13/2022,3.81
10/12/2022,3.623
10/11/2022,3.627
10/7/2022,3.928
10/6/2022,3.803
10/5/2022,3.641
10/4/2022,3.44
10/3/2022,3.322
9/30/2022,3.522
9/29/2022,3.752
9/28/2022,3.443
9/27/2022,3.244
9/26/2022,3.052
9/23/2022,3.112
9/22/2022,3.25
9/21/2022,3.2
9/20/2022,3.192
9/19/2022,3.056
9/16/2022,2.942
9/15/2022,2.968
9/14/2022,3.145
9/13/2022,3.328
9/12/2022,3.38
9/9/2022,3.349
9/8/2022,3.309
9/7/2022,3.318
9/6/2022,3.306
9/2/2022,3.354
9/1/2022,3.27
8/31/2022,3.422
8/30/2022,3.547
8/29/2022,3.651
8/26/2022,3.753
8/25/2022,3.691
8/24/2022,3.766
8/23/2022,3.554
8/22/2022,3.489
8/19/2022,3.416
8/18/2022,3.367
8/17/2022,3.319
8/16/2022,3.211
8/15/2022,3.21
8/12/2022,3.259
8/11/2022,3.267
8/10/2022,3.213
8/9/2022,3.078
8/8/2022,2.941
8/5/2022,2.968
8/4/2022,3.063
8/3/2022,3.19
8/2/2022,3.18
8/1/2022,3.245
7/29/2022,3.402
7/28/2022,3.521
7/27/2022,3.585
7/26/2022,3.436
7/25/2022,3.343
7/22/2022,3.334
7/21/2022,3.379
7/20/2022,3.404
7/19/2022,3.445
7/18/2022,3.465
7/15/2022,3.542
7/14/2022,3.538
7/13/2022,3.582
7/12/2022,3.518
7/11/2022,3.607
7/8/2022,3.524
7/7/2022,3.5
7/6/2022,3.246
7/5/2022,3.411
7/1/2022,3.779
6/30/2022,3.753
6/29/2022,3.872
6/28/2022,4.04
6/27/2022,4.133
6/24/2022,4.253
6/23/2022,4.066
6/22/2022,4.192
6/21/2022,4.21
6/17/2022,4.21
6/16/2022,4.401
6/15/2022,4.319
6/14/2022,4.201
6/13/2022,4.079
6/10/2022,4.172
6/9/2022,4.213
6/8/2022,4.08
6/7/2022,4.086
6/6/2022,4.152
6/3/2022,4.104
6/2/2022,4.052
6/1/2022,3.933
5/31/2022,3.815
5/27/2022,3.852
5/26/2022,3.823
5/25/2022,3.741
5/24/2022,3.636
5/23/2022,3.517
5/20/2022,3.504
5/19/2022,3.564
5/18/2022,3.472
5/17/2022,3.645
5/16/2022,3.827
5/13/2022,4.021
5/12/2022,4.009
5/11/2022,4.094
5/10/2022,4.123
5/9/2022,3.961
5/6/2022,4.155
5/5/2022,4.18
5/4/2022,4.326
5/3/2022,4.203
5/2/2022,4.466
4/29/2022,4.529
4/28/2022,5.066
4/27/2022,4.789
4/26/2022,4.52
4/25/2022,4.227
4/22/2022,3.881
4/21/2022,3.865
4/20/2022,3.903
4/19/2022,3.799
4/18/2022,3.848
4/14/2022,3.848
4/13/2022,3.724
4/12/2022,3.502
4/11/2022,3.343
4/8/2022,3.406
4/7/2022,3.367
4/6/2022,3.591
4/5/2022,3.629
4/4/2022,3.811
4/1/2022,3.625
3/31/2022,3.835
3/30/2022,4
3/29/2022,4.011
3/28/2022,3.481
3/25/2022,3.825
3/24/2022,3.962
3/23/2022,3.842
3/22/2022,3.588
3/21/2022,3.626
3/18/2022,3.372
3/17/2022,3.29
3/16/2022,2.954
3/15/2022,2.826
3/14/2022,3.07
3/11/2022,3.246
3/10/2022,3.117
3/9/2022,3.198
3/8/2022,4.1
3/7/2022,3.712
3/4/2022,3.588
3/3/2022,3.317
3/2/2022,3.383
3/1/2022,3.04
2/28/2022,2.856
2/25/2022,2.692
2/24/2022,2.721
2/23/2022,2.671
2/22/2022,2.627
2/18/2022,2.599
2/17/2022,2.584
2/16/2022,2.61
2/15/2022,2.685
2/14/2022,2.789
2/11/2022,2.8
2/10/2022,2.687
2/9/2022,2.707
2/8/2022,2.684
2/7/2022,2.732
2/4/2022,2.681
2/3/2022,2.652
2/2/2022,2.595
2/1/2022,2.578
1/31/2022,2.58
1/28/2022,2.593
1/27/2022,2.653
1/26/2022,2.564
1/25/2022,2.459
1/24/2022,2.467
1/21/2022,2.519
1/20/2022,2.484
1/19/2022,2.54
1/18/2022,2.558
1/14/2022,2.486
1/13/2022,2.444
1/12/2022,2.444
1/11/2022,2.429
1/10/2022,2.351
1/7/2022,2.329
1/6/2022,2.315
1/5/2022,2.263
1/4/2022,2.247
1/3/2022,2.195
12/31/2021,2.161
12/30/2021,2.213
12/29/2021,2.209
12/28/2021,2.205
12/27/2021,2.192
12/23/2021,2.172
12/22/2021,2.142
12/21/2021,2.094
12/20/2021,2.02
12/17/2021,2.075
12/16/2021,2.112
12/15/2021,2.098
12/14/2021,2.076
12/13/2021,2.103
12/10/2021,2.125
12/9/2021,2.103
12/8/2021,2.127
12/7/2021,2.088
12/6/2021,2.035
12/3/2021,1.935
12/2/2021,1.93
12/1/2021,1.88
11/30/2021,1.882
11/29/2021,1.965
11/24/2021,2.198
11/23/2021,2.195
11/22/2021,2.123
11/19/2021,2.09
11/18/2021,2.187
11/17/2021,2.175
11/16/2021,2.239
11/15/2021,2.21
11/12/2021,2.214
11/11/2021,2.245
11/10/2021,2.258
11/9/2021,2.319
11/8/2021,2.273
11/5/2021,2.253
11/4/2021,2.212
11/3/2021,2.221
11/2/2021,2.3
11/1/2021,2.301
10/29/2021,2.285
10/28/2021,2.278
10/27/2021,2.271
10/26/2021,2.339
10/25/2021,2.326
10/22/2021,2.312
10/21/2021,2.314
10/20/2021,2.353
10/19/2021,2.322
10/18/2021,2.305
10/15/2021,2.36
10/14/2021,2.361
10/13/2021,2.314
10/12/2021,2.299
10/11/2021,2.309
10/8/2021,2.263
10/7/2021,2.257
10/6/2021,2.22
10/5/2021,2.278
10/4/2021,2.284
10/1/2021,2.168
9/30/2021,2.201
9/29/2021,2.124
9/28/2021,2.105
9/27/2021,2.115
9/24/2021,2.08
9/23/2021,2.053
9/22/2021,2.015
9/21/2021,1.989
9/20/2021,1.972
9/17/2021,2.021
9/16/2021,2.022
9/15/2021,2.015
9/14/2021,1.965
9/13/2021,1.955
9/10/2021,1.922
9/9/2021,1.893
9/8/2021,1.916
9/7/2021,1.907
9/3/2021,1.949
9/2/2021,1.942
9/1/2021,1.907
8/31/2021,1.921
8/30/2021,1.918
8/27/2021,1.879
8/26/2021,1.842
8/25/2021,1.88
8/24/2021,1.842
8/23/2021,1.769
8/20/2021,1.645
8/19/2021,1.71
8/18/2021,1.742
8/17/2021,1.782
8/16/2021,1.795
8/13/2021,1.806
8/12/2021,1.838
8/11/2021,1.843
8/10/2021,1.816
8/9/2021,1.791
8/6/2021,1.804
8/5/2021,1.821
8/4/2021,1.789
8/3/2021,1.858
8/2/2021,1.887
7/30/2021,1.936
7/29/2021,1.94
7/28/2021,1.901
7/27/2021,1.899
7/26/2021,1.913
7/23/2021,1.89
7/22/2021,1.886
7/21/2021,1.839
7/20/2021,1.846
7/19/2021,1.747
7/16/2021,1.865
7/15/2021,1.864
7/14/2021,1.904
7/13/2021,1.954
7/12/2021,1.923
7/9/2021,1.902
7/8/2021,1.878
7/7/2021,1.837
7/6/2021,1.87
7/2/2021,1.934
7/1/2021,1.897
6/30/2021,1.883
6/29/2021,1.884
6/28/2021,1.876
6/25/2021,1.882
6/24/2021,1.903
6/23/2021,1.939
6/22/2021,1.933
6/21/2021,1.899
6/18/2021,1.863
6/17/2021,1.826
6/16/2021,1.834
6/15/2021,1.855
6/14/2021,1.847
6/11/2021,1.822
6/10/2021,1.841
6/9/2021,1.819
6/8/2021,1.854
6/7/2021,1.829
6/4/2021,1.828
6/3/2021,1.818
6/2/2021,1.823
6/1/2021,1.797
5/28/2021,1.759
5/27/2021,1.773
5/26/2021,1.763
5/25/2021,1.75
5/24/2021,1.765
5/21/2021,1.699
5/20/2021,1.672
5/19/2021,1.738
5/18/2021,1.772
5/17/2021,1.777
5/14/2021,1.775
5/13/2021,1.736
5/12/2021,1.81
5/11/2021,1.77
5/10/2021,1.749
5/7/2021,1.75
5/6/2021,1.749
5/5/2021,1.755
5/4/2021,1.762
5/3/2021,1.722
4/30/2021,1.689
4/29/2021,1.729
4/28/2021,1.724
4/27/2021,1.703
4/26/2021,1.673
4/23/2021,1.67
4/22/2021,1.661
4/21/2021,1.644
4/20/2021,1.682
4/19/2021,1.701
4/16/2021,1.699
4/15/2021,1.71
4/14/2021,1.696
4/13/2021,1.632
4/12/2021,1.623
4/9/2021,1.805
4/8/2021,1.61
4/7/2021,1.604
4/6/2021,1.596
4/5/2021,1.582
4/1/2021,1.624
3/31/2021,1.571
3/30/2021,1.588
3/29/2021,1.61
3/26/2021,1.604
3/25/2021,1.573
3/24/2021,1.645
3/23/2021,1.54
3/22/2021,1.633
3/19/2021,1.622
3/18/2021,1.579
3/17/2021,1.686
3/16/2021,1.728
3/15/2021,1.748
3/12/2021,1.76
3/11/2021,1.76
3/10/2021,1.722
3/9/2021,1.702
3/8/2021,1.71
3/5/2021,1.769
3/4/2021,1.719
3/3/2021,1.655
3/2/2021,1.636
3/1/2021,1.645
2/26/2021,1.682
2/25/2021,1.729
2/24/2021,1.754
2/23/2021,1.717
2/22/2021,1.671
2/19/2021,1.618
2/18/2021,1.624
2/17/2021,1.659
2/16/2021,1.632
2/12/2021,1.581
2/11/2021,1.554
2/10/2021,1.569
2/9/2021,1.569
2/8/2021,1.567
2/5/2021,1.527
2/4/2021,1.521
2/3/2021,1.505
2/2/2021,1.484
2/1/2021,1.454
1/29/2021,1.417
1/28/2021,1.418
1/27/2021,1.424
1/26/2021,1.409
1/25/2021,1.464
1/22/2021,1.421
1/21/2021,1.444
1/20/2021,1.442
1/19/2021,1.443
1/15/2021,1.433
1/14/2021,1.473
1/13/2021,1.462
1/12/2021,1.463
1/11/2021,1.412
1/8/2021,1.424
1/7/2021,1.38
1/6/2021,1.371
1/5/2021,1.376
1/4/2021,1.312
12/31/2020,1.34
12/30/2020,1.355
12/29/2020,1.353
12/28/2020,1.343
12/24/2020,1.36
12/23/2020,1.363
12/22/2020,1.324
12/21/2020,1.35
12/18/2020,1.388
12/17/2020,1.373
12/16/2020,1.35
12/15/2020,1.346
12/14/2020,1.338
12/11/2020,1.314
12/10/2020,1.306
12/9/2020,1.281
12/8/2020,1.295
12/7/2020,1.286
12/4/2020,1.282
12/3/2020,1.295
